id	pregunta	ortografia	afi
114	Llevar a cuestas	levar ás costas	leˈβaɹ æs̺ ˈkɔs̺tas̺
114	Dar volteretas	dar cambriolas	ˈdaɹ kãmbɾiˈɔlas̺
114	Levadura	fermento	foɾˈmẽnto
114	Cuna	berce	ˈbɛɾθe
114	Cuna	cuna	ˈkũnã
115	Guisantes	garavanzos	ɡaɾaˈβãnθos̺
115	Mariquita	rei	ˈrɛj
115	Lagartija	largatixa	laɹɣɐˈtiʃæ
115	Aguzanieves	lavandeira	laβãnˈdejɾa
115	Jabalí	cocho bravo	ˈkot͡ʃo ˈβɾaβo
115	Levadura	fermento	feɾˈmẽnto
115	Cadera	cadril	kaˈðɾil
115	Cuna	berce	ˈbɛɹθi̥
115	Llevar a cuestas	levar ás costas	leˈβaɾ as̺ ˈkɔs̺tas̺
115	Dar volteretas	dar cambriolas	ˈdaɹ kãmbɹiˈɔlas̺
115	Dar volteretas	dar un pinchacarneiro	ˈdaɹ ũm pĩɲt͡ʃækaɾˈnẽjɾo
116	Guisantes	garavanzos	ɡaɾaˈβãnθos̺
116	Mariquita	rei	ˈrej
116	Lagartija	lagatixa	laɣaˈtiʃæ
116	Aguzanieves	lavandeira	laβãnˈdejɹa
116	Jabalí	cocho bravo	ˈkot͡ʃo ˈβɾaβo
116	Cadera	cadera	kaˈðeɹa
116	Llevar a cuestas	levar ás costas	leˈβaɹ as̺ ˈkɔs̺tas̺
116	Dar volteretas	dar cambriolas	ˈdaɹ kãmbɹiˈɔlas̺
116	Cuna	berce	ˈbɛɹθi̥
116	Levadura	fermento	foɾˈmẽnto
116	Dar volteretas	dar pinchacarneiros	ˈdaɹ pĩɲt͡ʃækaɹˈnejɾos̺
117	Cuna	berzo	ˈbɛɾθo
117	Llevar a cuestas	levar a costas	leˈβaɹ a ˈkɔs̺tæs̺
117	Dar volteretas	dar pinchecarneiros	ˈdaɹ pĩɲt͡ʃekaɹˈnẽjɾos̺
117	Guisantes	garavanzos	ɡaɾaˈβãnθos̺
117	Mariquita	rei	ˈrej
117	Lagartija	largatixa	laɹɣaˈtiʃæ
117	Aguzanieves	laverca	laˈβɛɹka
117	Jabalí	cocho bravo	ˈkot͡ʃo ˈβɾaβo
117	Cadera	cadera	kaˈðeɹa
117	Levadura	fermento	ɸoɾˈmẽnto̥
117	Aguzanieves	lavandeira	laβãnˈdejɾa
118	Guisantes	chícharos	ˈʧ︢iʧ︢æɾos̺
118	Mariquita	rei	ˈrɛj
118	Lagartija	lagartixa	laɣaɾˈtiʃa
118	Aguzanieves	lavandeira	laβãnˈdɛjɹa
118	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβo
118	Cadera	cadeira	kaˈðɛjɹa
118	Cuna	berce	ˈbɛɾθe
118	Llevar a cuestas	levar ao carrelo	leˈβaɹ o kaˈrɛlo
118	Dar volteretas	dar pinchacarneiro	ˈdaɹ pĩɲt͡ʃækaɾˈnɛ̃jɾo
118	Levadura	fermento	foɾˈmẽnto
118	Jabalí	xabaril	ʃaβaˈɾil
118	Lagartija	lagartixa	laɣaɾˈtiʃæ
119	Guisantes	tirabeques	tiɾaˈβɛkes̺
119	Mariquita	rei	ˈrɛj
119	Lagartija	largatixa	laɹɣaˈtiʃæ
119	Aguzanieves	lavandeira	laβãnˈdejɹa
119	Jabalí	cocho bravo	ˈkot͡ʃo ˈβɾaβo
119	Cadera	cadeira	kaˈðejɹa
119	Cuna	berce	ˈbɛɾθe
119	Llevar a cuestas	levar o lombo	leˈβaɹ o ˈlõmbo
119	Dar volteretas	dar un pinchacarneiro	ˈdaɾ ũm pĩɲt͡ʃakaɾˈnẽjɾo
119	Levadura	fermento	ɸoɾˈmɛ̃nto
119	Guisantes	chícharos	ˈt͡ʃit͡ʃaɾos̺
119	Cuna	barrelo	baˈrɛlo
120	Guisantes	ervellos	eɾˈβeʎoʃ
120	Mariquita	papasol	papaˈs̺ol
120	Lagartija	largatixa	laɹɣaˈtiʃæ
120	Aguzanieves	alindadora	alĩndaˈðoɹa
120	Jabalí	xabaril	ʃæβaˈɾil
120	Cadera	cadera	kaˈðeɾa
120	Cuna	bercio	ˈbeɾθjo
120	Llevar a cuestas	levar ás costas	leˈβaɹ as̺ ˈkɔs̺tas̺
120	Dar volteretas	dar a pinchacarneira	ˈda la pĩɲt͡ʃakaɾˈnẽjɹa
120	Levadura	fermento	ɸoɾˈmẽnto
120	Cuna	rucho	ˈrut͡ʃo
120	Cuna	cuna	ˈkũnã
121	Guisantes	pericos	peˈɾikos̺
121	Mariquita	xoana	ʃuˈãnã
121	Lagartija	lagartixa	laxʰaɹˈtiʃæ
121	Aguzanieves	lavandeira	laβãnˈdejɹa
121	Jabalí	xabalí	ʃaβaˈli
121	Cadera	cadeira	kaˈðejɹa
121	Cuna	rolo	ˈrɔlo
121	Llevar a cuestas	levar ao lombo	lœˈβaɹ ɔ ˈlõmbo
